Title (EN),Title (TE),Year,Director,Hero,Heroine,Music Director,Runtime (min),Genres,Synopsis,Missing Fields
"Lopaliki Ra Cheptha","","2025","Konda Venkata Rajendra","","","","","","Lopaliki Ra Cheptha, directed by Konda Venkata Rajendra, is a 2025 Telugu film that likely explores ","hero, heroine, runtime"
"Kanya Kumari","","2025","","Bhadram","Geeth Saini","","135","Drama; Romance","Kanya Kumari is a drama-romance film that follows the story of a young couple, played by Bhadram and","director"
"Diksuchi","","2025","Ankita Vemavarapu","Duvvuri Havisha","","Sukun","27","Comedy; Thriller; Mystery","Diksuchi is a comedy-thriller that follows the story of a young man, played by Duvvuri Havisha, who ","heroine"
"Bandi","","2025","Dharma","","","","129","Drama","Bandi, a drama film directed by Dharma, is expected to revolve around the life of its protagonist as","hero, heroine"
"Manmohan Menampalley","","2025","","","","","","","Manmohan Menampalley is a 2025 Telugu film that appears to be a character-driven story, possibly exp","director, hero, heroine, runtime"
"Jenuse Mohamed","","2025","","Dulquer Salmaan","Nithya Menen","","","","Jenuse Mohamed is a movie starring Dulquer Salmaan and Nithya Menen, likely a romantic drama or fami","director, runtime"
"Harish Reddy Uppula","","2025","","Mount Meru Pictures","","","","","Harish Reddy Uppula is an upcoming Telugu film set to release in 2025, with Mount Meru Pictures at t","director, heroine, runtime"
"Balu Gadi Love Story","","2025","L. Srinivaas Thej","","","","133","Drama","Carefree Balu dismisses love until meeting ambitious Keerthi. Their playful flirting evolves into co","hero, heroine"
"Raju Weds Rambai","","2025","Saailu Kaampati","Shivaji Raja","Anitha Chowdary","","","Drama; Romance; Comedy","Raju Weds Rambai is a drama, romance, and comedy film that revolves around the life of Raju, played ","runtime"
"Chandoo Mondeti","","2025","","","","","","","Chandoo Mondeti is an upcoming Telugu film set to release in 2025, however, due to the lack of infor","director, hero, heroine, runtime"
"SJ Shiva","","2025","","","","","","","SJ Shiva is an upcoming Telugu film set to release in 2025, with details about the plot and characte","director, hero, heroine, runtime"
"Arjun Chakravarthy","","2025","Vikrant Rudra","Dayanand Reddy","","Vignesh Baskaran","141","Drama","Journey of an Unsung Champion is an inspiring sports drama that chronicles the extraordinary life of","heroine"
"KSK Chaitanya","","2025","","","","","","","KSK Chaitanya is an upcoming Telugu film set to release in 2025, with details about the plot and cha","director, hero, heroine, runtime"
"Wife Off","","2025","Bhanu Yerubandi","Divyasree Gurugubelli","","Praneeth Namboori","80","Thriller; Mystery","In the thriller 'Wife Off', directed by Bhanu Yerubandi, Divyasree Gurugubelli plays a lead role tha","heroine"
"1000 Waala","","2025","Afzal Shaik","Suman","","","129","","1000 Waala Movie Is Good Love Story it's an action drama movie.","heroine"
"Murali Manohar","","2025","","","","","","","Murali Manohar is a forthcoming Telugu film set to release in 2025, with details about the plot and ","director, hero, heroine, runtime"
"The Devil's Chair","","2025","Ganga Saptasikhara","Adhire Abhi","","","102","","After losing his job and love, Vikram falls prey to the evil spirit Pundaksha. As darkness overtakes","heroine"
"Junior","","2025","","","","","151","Drama; Family","A young man's search for meaningful memories leads to a discovery that may transform his relationshi","director, hero, heroine"
"Bhanu Shankar","","2025","","","","","","","Bhanu Shankar is a forthcoming Telugu film set to release in 2025, with details about the plot and c","director, hero, heroine, runtime"
"Sai Rajesh Mahadev","","2025","","Suma Chitra Arts","","","","","Sai Rajesh Mahadev is an upcoming Telugu film set to release in 2025, with Suma Chitra Arts playing ","director, heroine, runtime"
"Naga Shiva","","2025","Ram Gopal Varma in his directoral debut and the film is produced by Akkineni Venkat and Yarlagadda Surendra under Annapurna Studios and S","","","","","","Naga Shiva, directed by Ram Gopal Varma, is likely a thriller or action film given the director's st","hero, heroine, runtime"
"Ram Prakash Gunnam","","2025","","S Rai Creations","","","","","Ram Prakash Gunnam is an upcoming Telugu film set to release in 2025, with S Rai Creations playing t","director, heroine, runtime"
"Summer breeze","","2025","Sirish meethal","vivek kuppili","","","9","Drama","The summer breeze blows through a field.","heroine"
"Bakasura Restaurant","","2025","SJ shiva","Praveen","","","158","Comedy; Horror","A wish of 5 youngsters leads them to unveil a supernatural force lurking beneath around them","heroine"
"N. Laxmi Nanda","","2024","","SMK Films","","","","","N. Laxmi Nanda is a forthcoming Telugu film scheduled for release in 2024, with SMK Films playing th","director, heroine, runtime"
"Razakar: The Silent Genocide of Hyderabad","","2024","Yaata Satyanarayana","Arav Chowdhary","Vedhika","Bheems Ceciroleo","","History; Drama","Razakar: The Silent Genocide of Hyderabad is a historical drama film that delves into the lesser-kno","runtime"
"Haddhu Ledhu Raa","","2024","Rajashekkar Raavi","","","","","","Haddhu Ledhu Raa, directed by Rajashekkar Raavi, is an upcoming Telugu film set to release in 2024. ","hero, heroine, runtime"
"Mallam Ramesh","","2024","","Kalarathna Movies","","","","","Mallam Ramesh is a forthcoming Telugu film that likely revolves around the life of its titular chara","director, heroine, runtime"
"Vikranth Srinivas","","2024","","Sri Tirumala TirupatiVenkateswara Films","","","","","Vikranth Srinivas is an upcoming Telugu film set to release in 2024, with Sri Tirumala Tirupati Venk","director, heroine, runtime"
"Rajesh Mudunuri","","2024","","Sivatri Films","","","","","Rajesh Mudunuri is an upcoming Telugu film set to release in 2024, with Sivatri Films playing the le","director, heroine, runtime"
"Osho Tulasiram","","2024","","Cult Concepts","","","","","Osho Tulasiram is a 2024 Telugu film that appears to be a biographical or philosophical drama, poten","director, heroine, runtime"
"Leela Vinodham","","2024","Pavan Sunkara","","","","","","Leela Vinodham, directed by Pavan Sunkara, appears to be a forthcoming Telugu film scheduled for rel","hero, heroine, runtime"
"Arjun Sai","","2024","","","","","","","Arjun Sai is an upcoming Telugu film that likely revolves around the life of a young man named Arjun","director, hero, heroine, runtime"
"Chimata Ramesh Babu","","2024","","Chimata Productions","","","","","Chimata Ramesh Babu is a forthcoming Telugu film scheduled for release in 2024. Although details abo","director, heroine, runtime"
"Gorre Puranam","","2024","Bobby","Suhas","","Pawan Ch","103","Drama; Comedy","Gorre Puranam is a drama-comedy film that likely revolves around the life of a young man, played by ","heroine"
"Makka Srinu","","2024","","Sai Hanuman Movie Makers","","","","","Makka Srinu is an upcoming Telugu film that likely revolves around the life of its titular character","director, heroine, runtime"
"Narayana Chenna","","2024","","BS Production HouseYellow Thoughts CreationsAR Talkies","","","","","Narayana Chenna is a forthcoming Telugu film set to release in 2024, with the story likely revolving","director, heroine, runtime"
"Children of WONDERS : A Song of Two Birds","","2024","Jafar Ahammad Shaik","Jafar Ahammad Shaik","","Adrian Von Ziegler","9","Fantasy; Family","Children of WONDERS: A Song of Two Birds is a fantasy family film that follows the journey of two yo","heroine"
"Gnanasagar Dwaraka","","2024","","Sree Subramanyeshwara Cinemas","","","","","Gnanasagar Dwaraka is a movie that likely explores spiritual or philosophical themes, given the titl","director, heroine, runtime"
"Aham Reboot","","2024","Prashanth Sagar Atluri","Sumanth","","Sriram Maddury","91","Thriller; Drama","Aham Reboot, directed by Prashanth Sagar Atluri, is a thriller drama that likely follows the story o","heroine"
"Dhruva Vaayu","","2024","","Big Hit Productions","","","","","Dhruva Vaayu is an upcoming Telugu film that likely explores themes of action, drama, or romance, gi","director, heroine, runtime"
"Vishwanath Prathap","","2024","","Aha","","","","","Vishwanath Prathap is an upcoming Telugu film starring Aha as the lead actor, with the plot and othe","director, heroine, runtime"
"Busa Kumar Yadav","","2024","","KY Films","","","","","Busa Kumar Yadav is a forthcoming Telugu film scheduled for release in 2024, with KY Films playing t","director, heroine, runtime"
"D. Naga Sasidhar Reddy","","2024","","Raising Hands Productions","","","","","D. Naga Sasidhar Reddy is an upcoming Telugu film scheduled for release in 2024, however, due to the","director, heroine, runtime"
"Muni Sahekara","","2024","","Teenasree Creations","","","","","Muni Sahekara is an upcoming Telugu film set to release in 2024, with Teenasree Creations playing th","director, heroine, runtime"
"Simbaa","","2024","Murali Manohar Reddy","Jagapati Babu","Anasuya Bharadwaj","Krishna Saurabh","","Mystery","Simbaa is a mystery film that follows the story of a complex character, potentially played by Jagapa","runtime"
"Sanjeev Megoti","","2024","","Lightouver Cinemusic","","","","","Sanjeev Megoti is an upcoming Telugu film set to release in 2024, starring Lightouver Cinemusic as t","director, heroine, runtime"
"Eashvar Karthic","","2024","","Old Town PicturesPadmaja Films","","","","","Eashvar Karthic is an upcoming Telugu film set to release in 2024, with the production houses Old To","director, heroine, runtime"
